Series ID,Year,Period,Label,Value
CUUR0000SAF,2021,M01,2021 Jan,270.260
CUUR0000SAF,2021,M02,2021 Feb,270.672
CUUR0000SAF,2021,M03,2021 Mar,271.135
CUUR0000SAF,2021,M04,2021 Apr,272.367
CUUR0000SAF,2021,M05,2021 May,273.441
CUUR0000SAF,2021,M06,2021 Jun,275.380
CUUR0000SAF,2021,M07,2021 Jul,277.187
CUUR0000SAF,2021,M08,2021 Aug,278.201
CUUR0000SAF,2021,M09,2021 Sep,280.452
CUUR0000SAF,2021,M10,2021 Oct,282.943
CUUR0000SAF,2021,M11,2021 Nov,284.168
CUUR0000SAF,2021,M12,2021 Dec,285.556
CUUR0000SAF,2022,M01,2022 Jan,288.264
CUUR0000SAF,2022,M02,2022 Feb,291.244
CUUR0000SAF,2022,M03,2022 Mar,294.064
CUUR0000SAF,2022,M04,2022 Apr,296.915
CUUR0000SAF,2022,M05,2022 May,300.081
CUUR0000SAF,2022,M06,2022 Jun,302.967
CUUR0000SAF,2022,M07,2022 Jul,306.278
CUUR0000SAF,2022,M08,2022 Aug,308.550
CUUR0000SAF,2022,M09,2022 Sep,310.678
CUUR0000SAF,2022,M10,2022 Oct,312.860
CUUR0000SAF,2022,M11,2022 Nov,313.467
CUUR0000SAF,2022,M12,2022 Dec,314.459
CUUR0000SAF,2023,M01,2023 Jan,316.705
CUUR0000SAF,2023,M02,2023 Feb,318.050
CUUR0000SAF,2023,M03,2023 Mar,318.338
CUUR0000SAF,2023,M04,2023 Apr,319.085
CUUR0000SAF,2023,M05,2023 May,319.811
CUUR0000SAF,2023,M06,2023 Jun,320.120
CUUR0000SAF,2023,M07,2023 Jul,321.020
CUUR0000SAF,2023,M08,2023 Aug,321.578
CUUR0000SAF,2023,M09,2023 Sep,322.249
CUUR0000SAF,2023,M10,2023 Oct,323.262
CUUR0000SAF,2023,M11,2023 Nov,322.703
CUUR0000SAF,2023,M12,2023 Dec,322.933
CUUR0000SAF,2024,M01,2024 Jan,324.782
CUUR0000SAF,2024,M02,2024 Feb,325.190
CUUR0000SAF,2024,M03,2024 Mar,325.491
CUUR0000SAF,2024,M04,2024 Apr,326.107
CUUR0000SAF,2024,M05,2024 May,326.545
CUUR0000SAF,2024,M06,2024 Jun,327.144
CUUR0000SAF,2024,M07,2024 Jul,327.956
CUUR0000SAF,2024,M08,2024 Aug,328.156
CUUR0000SAF,2024,M09,2024 Sep,329.417
CUUR0000SAF,2024,M10,2024 Oct,330.051
CUUR0000SAF,2024,M11,2024 Nov,330.260
CUUR0000SAF,2024,M12,2024 Dec,330.812
CUUR0000SAF,2025,M01,2025 Jan,332.696
